,0
267,10259.004
268,10467.002
269,10012.004
270,9609.003
271,9583.003
272,9375.003
273,9778.002
274,9947.003
275,6374.005000000001
276,6914.004000000001
277,6587.003000000001
278,6551.005999999999
279,6379.004000000001
280,6803.003000000001
281,6795.002
282,6977.003000000001
283,6587.004000000001
284,6184.003000000001
285,6160.001
286,7273.005
287,8266.002
288,8201.004
289,8989.004
290,8781.003
291,8981.001
292,8573.003
293,8742.004
294,8513.003
295,8350.005000000001
296,6819.005000000001
297,6600.003000000001
298,6626.001
299,6392.003000000001
300,5815.003000000001
301,6340.004000000001
302,5808.005000000001
303,5745.005000000001
304,5958.003000000001
305,6530.004000000001
306,6670.005000000001
307,6623.005999999999
308,6628.005
309,6420.005999999999
310,6758.008000000001
311,7187.0070000000005
312,7798.005000000001
313,7616.006
314,7434.006
315,7345.005999999999
316,7891.009
317,8671.008
318,8856.01
319,9818.01
320,9114.01
321,9114.011
322,9010.005000000001
323,8825.004
324,8435.003
325,8264.005000000001
326,6762.006000000001
327,6169.005
328,6112.006
329,5948.005000000001
330,5389.004000000001
331,5584.004
332,5337.005999999999
333,5532.005999999999
334,5506.006
335,5688.006000000001
336,6067.004000000001
337,5867.005000000001
338,6049.005000000001
339,5677.004000000001
340,6478.005000000001
341,6992.005000000001
342,7182.005000000001
343,6961.004000000001
344,6701.006000000001
345,7028.006000000001
346,7574.008000000001
347,8203.004
348,8229.003
349,9199.004
350,9173.004
351,9067.004
352,8838.004
353,8799.004
354,8773.004
355,8436.005000000001
356,7334.004000000001
357,6767.002
358,6702.004000000001
359,6468.005000000001
360,6299.003000000001
361,6312.002
362,6210.003000000001
363,6600.002
364,6015.002
365,6010.002
366,6147.002
367,6342.002
368,5862.001
369,5267.004000000001
370,5454.005
371,5805.008000000001
372,6214.013000000001
373,5816.012000000001
374,5647.012000000001
375,5992.013000000001
376,6551.013000000001
377,7110.015000000001
378,7097.015000000001
379,8423.019
380,7833.021000000001
381,7877.023
382,7721.024000000002
383,7731.021000000002
384,7284.028000000002
385,7077.0300000000025
386,6570.027000000002
387,6016.028
388,6406.027000000002
389,6029.029000000001
390,5639.032000000001
391,5639.031000000001
392,5368.033000000001
393,5589.038000000002
394,5191.041000000001
395,5594.043000000002
396,5687.047000000002
397,5864.051000000003
398,6059.051000000002
399,6051.049000000003
400,6290.0480000000025
401,6449.049000000003
402,6717.051000000003
403,6283.051000000002
404,6309.053000000002
405,6721.051000000001
406,7108.050000000002
407,7885.054000000002
408,7737.056000000002
409,8589.058000000003
410,8466.056000000004
411,8671.057000000003
412,8476.059000000005
413,8268.061000000005
414,7626.060000000003
415,7187.062000000005
416,6470.063000000002
417,7055.065000000004
418,7518.064000000004
419,7320.066000000003
420,6956.066000000003
421,6739.070000000004
422,6445.072000000005
423,6553.072000000006
424,6335.076000000005
425,6530.081000000006
426,6269.081000000006
427,6252.083000000007
428,6427.078000000007
429,6290.081000000004
430,7057.081000000004
431,7677.084000000005
432,7540.083000000006
433,7237.086000000006
434,6947.0850000000055
435,7267.085000000004
436,7902.080000000004
437,8265.081000000002
438,7948.084000000003
439,8915.086000000005
440,8876.087000000005
441,8850.085000000005
442,8483.083000000004
443,8314.078000000005
444,7562.078000000002
445,7087.078000000003
446,6167.076000000002
447,6621.075000000002
448,6321.081000000002
449,6321.078000000002
450,5531.080000000001
451,5844.076
452,5607.0740000000005
453,5989.074000000001
454,5994.071000000001
455,6392.073000000001
456,6345.071000000001
457,6114.072000000001
458,6704.071000000002
459,6894.071000000001
460,7499.068000000001
461,7783.066000000001
462,8041.064000000001
463,7736.067
464,7557.066
465,8142.064
466,8279.065
467,9023.067000000001
468,8828.066
469,9658.066
470,9060.069000000001
471,9245.070000000002
472,8884.074
473,8322.073
474,7792.073000000001
475,7262.072000000001
476,6329.0740000000005
477,6719.0740000000005
478,6727.073
479,6735.0740000000005
480,6366.073
481,6764.072
482,6504.075000000001
483,6836.078000000001
484,7036.077000000001
485,7371.078000000001
486,7506.080000000002
487,7311.082000000001
488,7511.081000000001
489,7121.0830000000005
490,7922.080000000001
491,8304.081000000002
492,8088.082000000001
493,7888.083000000001
494,7753.084000000001
495,8092.084000000001
496,8482.084000000003
497,8989.083
498,8846.082
499,10216.081
500,9931.082
501,9549.081
502,9359.081
503,9419.081
