,0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,0.0
81,0.0
82,0.0
83,0.0
84,0.0
85,0.0
86,0.0
87,0.0
88,0.0
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.0
103,0.0
104,0.0
105,0.0
106,0.0
107,0.0
108,0.0
109,0.0
110,0.0
111,0.0
112,0.0
113,0.0
114,0.0
115,0.0
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,0.0
127,0.0
128,0.0
129,0.0
130,0.0
131,0.0
132,0.0
133,0.0
134,0.0
135,0.0
136,0.0
137,0.0
138,0.0
139,0.0
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.0
151,0.0
152,0.0
153,0.0
154,0.0
155,0.0
156,0.0
157,0.0
158,0.0
159,0.0
160,0.0
161,0.0
162,0.0
163,0.0
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,0.0
175,0.0
176,0.0
177,0.0
178,0.0
179,0.0
180,0.0
181,0.0
182,0.0
183,0.0
184,0.0
185,0.0
186,0.0
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,0.0
196,0.0
197,0.0
198,0.0
199,0.0
200,0.0
201,0.0
202,0.0
203,0.0
204,0.0
205,0.0
206,0.0
207,0.0
208,0.0
209,0.0
210,0.0
211,0.0
212,0.0
213,0.0
214,0.0
215,0.0
216,0.0
217,0.0
218,0.0
219,0.0
220,0.0
221,0.0
222,0.0
223,0.0
224,0.0
225,0.0
226,0.0
227,0.0
228,0.0
229,0.0
230,0.0
231,0.0
232,0.0
233,0.0
234,0.0
235,0.0
236,0.0
237,0.0
238,0.0
239,0.0
240,0.0
241,0.0
242,0.0
243,0.0
244,0.0
245,0.0
246,0.0
247,0.0
248,0.0
249,0.0
250,0.0
251,0.0
252,0.015000000000000001
253,0.030000000000000006
254,0.04300000000000001
255,0.05600000000000002
256,1012.0621663422592
257,1012.0781663422591
258,0.10600000000000007
259,0.12600000000000008
260,0.1470000000000001
261,0.16200000000000012
262,804.9842556875633
263,804.9962556875633
264,805.0122556875633
265,1583.9327056865327
266,1583.9477056865326
267,2626.0253371746035
268,2626.0413371746035
269,2626.061337174603
270,4423.027460443065
271,4423.041460443065
272,5418.051332530435
273,7266.9424218043105
274,7266.96142180431
275,6297.344124919925
276,6297.374124919926
277,6297.3871249199265
278,5329.014330182847
279,5466.797231798187
280,4455.156693626538
281,3704.0972259376585
282,3513.139400278811
283,7021.277475111264
284,7324.560928093777
285,8154.298041955532
286,9246.71725108611
287,10048.926095903671
288,12523.910632428957
289,14225.116037215434
290,15874.26823102438
291,17595.673045316515
292,18331.19104561171
293,15668.249916323359
294,17540.85499465438
295,16165.884231266775
296,16927.075755744652
297,17795.7822390895
298,18347.018646676755
299,20026.506266411885
300,17552.8202153502
301,15114.767233378268
302,15225.883664801671
303,17676.892410716697
304,19008.254739705175
305,19668.18582770518
306,21552.733927915102
307,22482.803924718697
308,24029.979682329016
309,25686.048881462662
310,25186.882042492838
311,25678.284605862416
312,28219.044804065044
313,28205.19826278193
314,28922.67686725229
315,25569.72313891137
316,25469.514175176988
317,22528.383621014287
318,19748.69821393083
319,17800.30492497407
320,20141.11549053705
321,23089.54425797238
322,24601.039725861865
323,22953.658658812183
324,21174.077005110994
325,21092.35020389481
326,24690.48794932637
327,23912.696876293256
328,25102.10514509856
329,29449.630760846674
330,27557.5918849284
331,27632.391319311275
332,31990.990702659983
333,29520.534453973196
334,31543.676240913515
335,32197.882453083555
336,30661.894119440833
337,30203.195840845292
338,31964.10657232722
339,34612.90043618489
340,35703.5986826255
341,37269.21510323877
342,34495.92478234517
343,33065.397574495946
344,34556.60632415814
345,35665.24895464405
346,35887.99140309091
347,37651.26838942302
348,35967.376949659716
349,40344.79543377101
350,40345.15982499711
351,37490.02322027542
352,35592.59058600534
353,34520.116406801724
354,34028.51927509447
355,36421.54034807968
356,35503.597867766286
357,37031.64500406569
358,36378.73092542821
359,33963.49925468708
360,37839.87107861188
361,33731.53251305381
362,35106.57841096456
363,36138.54023499119
364,37786.89185867699
365,37705.58452519517
366,34607.340065064185
367,30841.77626343609
368,34682.38887383133
369,38051.14599318455
370,37160.38546321794
371,39629.16596405744
372,38210.936206463186
373,34559.11639807615
374,34638.422316210745
375,35075.55703712338
376,32414.415466312115
377,38893.688060063076
378,35976.76422539263
379,40878.86318978085
380,41479.52858206164
381,39953.13498164422
382,40210.042112099894
383,40646.792647375325
384,39048.182140019824
385,40598.97866248129
386,36742.713980493674
387,34778.01766585668
388,34467.327309476714
389,32488.70762720742
390,39196.46650736242
391,38002.134462082526
392,37093.104650025125
393,38136.88603861729
394,36552.45296361741
395,38715.66189925438
396,41177.3456689147
397,42656.7583361132
398,36697.37762129722
399,41692.876925478806
400,42813.99114067948
401,39205.82675907566
402,40280.76337702471
403,41266.07691401342
404,46672.34073695111
405,49895.65660070565
406,44340.819216112184
407,41327.75248961762
408,40085.411546604715
409,40559.13483161946
410,43386.35488883585
411,42859.110363092164
412,43672.23175151441
413,45350.55773054862
414,42964.45314134237
415,43469.94467762943
416,36374.52892994004
417,40628.08741015342
418,34139.46031164288
419,31911.091111952366
420,33112.50471747033
421,30979.424108406063
422,31808.45588877894
423,30358.302470064
424,31001.60697681482
425,26514.312594336723
426,30249.886713164953
427,34215.01686128553
428,39068.82128699213
429,37203.709657681655
430,34583.247511785965
431,36452.06536569905
432,32828.056982932765
433,29224.780347110092
434,32446.651644673948
435,36440.49098524885
436,38683.46688962148
437,42576.169635531165
438,42084.94230292679
439,41123.099609719604
440,40598.52360839983
441,40226.75202546155
